track_id,track_name,artist_name,main_artist,canonical_title,release_date,popularity
5DV4ZSCqbFv74ui3ZhimXo,coño,jason derulo,jason derulo,cono,2020-07-03,72
5H4mXWKcicuLKDn4Jy0sK7,time flies,drake,drake,time flies,2020-05-01,72
5srKMwXoeyrRnyTnNbpgIW,people i don't like,upsahl,upsahl,people i don t like,2020-07-17,72
67O8CWXxPsfz8orZVGMQwf,end of time,k-391,k-391,end of time,2020-03-06,72
73ThEGwF5i9GrsXXGyZBRa,i'm just feelin' (du du du),imanbek,imanbek,i m just feelin,2020-05-01,72
0Je3J2ml1lrnTLXXIlxrvR,never let me down,vize,vize,never let me down,2020-04-24,71
0rohJsT6NWsThpukt0Xxdc,higher ground (feat. john martin),martin garrix,martin garrix,higher ground,2020-05-14,71
0sci7ppTZFm4mjcH3nu8yO,nasty,ariana grande,ariana grande,nasty,2020-10-30,71
0v8OKUrqZGoEbgEUXScRSQ,hear me tonight,alok,alok,hear me tonight,2020-04-24,71
14ngWWxvUSnIMXgF6rzSk1,head shoulders knees & toes (feat. norma jean martine),ofenbach,ofenbach,head shoulders knees toes,2020-05-08,71
18V1UiYRvWYwn01CRDbbuR,home,edith whiskers,edith whiskers,home,2020-11-13,71
1ENdcyhqdylaLsPVgB83qq,rags2riches (feat. atr son son),rod wave,rod wave,rags2riches,2020-04-03,71
1GcXzijYzyfMq6wryZjYW5,may i,flo milli,flo milli,may i,2020-07-24,71
1T4U8Q2DRfs6OUg8DEsRZf,bad,don diablo,don diablo,bad,2020-03-20,71
2A0CxheiQGQdCiKtOR7jMP,the passenger (lalala) [feat. mokaby],lum!x,lum!x,the passenger,2020-01-17,71
2ViSWfhT0kvEulXA1HH7Wk,sugar daddy,qveen herby,qveen herby,sugar daddy,2020-05-26,71
2eZa3hJ7ClZ2c9EUq4Ikwz,sexyback,dmnds,dmnds,sexyback,2020-07-10,71
2hfoyc7ve6xM4ZEiNIiU1B,gimme love,joji,joji,gimme love,2020-04-16,71
3Dzso9Q2WwupEclqgxBZht,pumped up kicks,madism,madism,pumped up kicks,2020-08-21,71
3bcJIkPhkmoiF31lcHZ96t,rebola lentinho,mc kaio,mc kaio,rebola lentinho,2020-12-01,71
4SIB2yxKoFOrbkjA4zfQbB,beautiful pain (losin my mind),polo g,polo g,beautiful pain,2020-05-15,71
4uqh9bualXNHXXwO2wPorc,daisies,katy perry,katy perry,daisies,2020-05-15,71
4zGtfOglDBfVUypabBwIjQ,desce pro play (pa pa pa),mc zaac,mc zaac,desce pro play,2020-06-26,71
5azix4xbmL7Vx9hRhlZL9B,chanel bag,killbunk,killbunk,chanel bag,2020-10-31,71
68UU9oaQtMDnh6PRlW842H,i like him,princess nokia,princess nokia,i like him,2020-02-26,71
7bUvgvAf0tdQIty95lV5wf,dance with you,skusta clee,skusta clee,dance with you,2020-11-19,71
7lTXqBURoqMMzzYA6fFF6s,mood,koosen,koosen,mood,2020-10-23,71
0BDQlse1DeRbOnVPY3YA5z,paradise,vize,vize,paradise,2020-08-21,70
0YnHCIk1Ppy7FIzdvjspts,i don't wanna know,somma,somma,i don t wanna know,2020-07-24,70
0bhciG1J5Mn3aIfPjvHQIe,photo id,remi wolf,remi wolf,photo id,2020-06-24,70
0ooz46SAYMJsdOPnwW4nKK,drugs,tai verdes,tai verdes,drugs,2020-10-30,70
1IWNylpZ477gIVUDpJL66u,sour candy (with blackpink),lady gaga,lady gaga,sour candy,2020-05-29,70
1XFHbzTikXks9CsMq4v8Q3,not so bad (feat. emie),yves v,yves v,not so bad,2020-01-03,70
2Y3USTCETS4xbjJOzT1Icm,adderall (corvette corvette) - remix,popp hunna,popp hunna,adderall remix,2020-12-18,70
2ieu0FHqTpBUrMoCFVL3cb,potential breakup song,aly & aj,aly,potential breakup song,2020-12-29,70
2v8GT5HHcqFaTXS2xijw4r,changes,hayd,hayd,changes,2020-11-13,70
3WnTQDd9A3bpBfzCziElU9,excitement,trippie redd,trippie redd,excitement,2020-05-15,70
4SUk1ZTtA6OC120afxrpRZ,2 phút hơn - kaiz remix,pháo,phao,2 phut hon kaiz remix,2020-12-18,70
50v2TSRV31bwpAPkjWejNL,really love (feat. craig david & digital farm animals),ksi,ksi,really love,2020-10-23,70
52BJrldggFQyTiW8XrILhO,in the party,flo milli,flo milli,in the party,2020-07-24,70
57Oi4yqY27uJzCyqFWIP5q,3 musketeers,nextyoungin,nextyoungin,3 musketeers,2020-07-07,70
6VpFMzV1VGSaCekAdICGOy,better off alone,koosen,koosen,better off alone,2020-09-25,70
6hjh2phISvfR1Ib6S0FK7b,trying my best,anson seabra,anson seabra,trying my best,2020-05-08,70
7KVBqGLGhrEejVokzYd8vF,bunny girl,1nonly,1nonly,bunny girl,2020-08-20,70
7kGDAuP9P8mT2epyDwbdDj,se acabó la cuarentena,jowell & randy,jowell,se acabo la cuarentena,2020-08-06,70
0hwEhPxCBLKiqeBMZavGAv,flexin',lit killah,lit killah,flexin,2020-06-11,69
13VXVxePp4NUiXwtmQ0viz,said sum (feat. city girls & dababy) - remix,moneybagg yo,moneybagg yo,said sum remix,2020-09-18,69
1Hu42ZLWG9dHaVOPiWyEmE,beautiful scars,maximillian,maximillian,beautiful scars,2020-10-23,69
1KVQBPyORdhfITlixROtvC,be happy,dixie,dixie,be happy,2020-06-26,69
2ajzBr7vwHTEBeqDzcsNRC,that way - bonus track,lil uzi vert,lil uzi vert,that way track,2020-03-06,69
3wCx8pwK7J1LVe13dFXjPm,beat box,spotemgottem,spotemgottem,beat box,2020-04-20,69
4x5ymi4akay9Fq5Xm1PW3E,sad - imanbek xxx remix,rasster,rasster,sad imanbek xxx remix,2020-05-22,69
4zTPYAf5scZdp0LnwPPeWK,deep end freestyle,sleepy hallow,sleepy hallow,deep end freestyle,2020-04-03,69
5PHCSm8zblG7sgJOsItdpT,popstar,koosen,koosen,popstar,2020-08-21,69
5q2RrKxolPmERgX5u3Vv9Q,do i wanna know?,lofi fruits music,lofi fruits music,do i wanna know,2020-07-31,69
5raTDhlbxFDnpn89bxArdH,that way,lil uzi vert,lil uzi vert,that way,2020-03-01,69
6iWEhoALoBFnQMNVhYY0Sc,you're somebody else,flora cash,flora cash,you re somebody else,2020-03-06,69
7dH9TPjTWQ60wOJkmYay8a,blastoff (feat. juice wrld & trippie redd),internet money,internet money,blastoff,2020-08-28,69
0JXJiVinO21PJUrunf6dAQ,don't rush - remix,eduardo luzquiños,eduardo luzquinos,don t rush remix,2020-12-07,68
0en1kxNAvVQxLpbteRTG7L,ulap,rob deniel,rob deniel,ulap,2020-09-13,68
1YLulCkIocAKDTPFths9at,renai circulation (english cover) [tv size],lizz robinett,lizz robinett,renai circulation,2020-08-13,68
1Zv2jT7iZu98Feqpzhn0nd,(i hope you) miss me,joseph black,joseph black,miss me,2020-02-14,68
1bra22ihn1UyVyilRRcpy2,candela,super yei,super yei,candela,2020-04-20,68
2993VQSr7a2Dj5hI5xcWG0,do it on the tip (feat. city girls & hot girl meg),megan thee stallion,megan thee stallion,do it on the tip,2020-11-20,68
2ImaJZH7XqxrzbQZpYDmol,addison rae,the kid laroi,the kid laroi,addison rae,2020-03-22,68
2o9LAypwGH4ctV0i9boo6d,come around me,justin bieber,justin bieber,come around me,2020-02-14,68
4dPVmeisPfQrLcjx0Wz1KW,jojo pose,apollo fresh,apollo fresh,jojo pose,2020-01-11,68
4y3BUo2hp0MxylfbUaqRyJ,stuck in the middle,tai verdes,tai verdes,stuck in the middle,2020-05-29,68
5WfACgyEk4rwdWU3rrzNt1,godspeed,james blake,james blake,godspeed,2020-09-11,68
5XMhppJhtgjkd2SYDklhR9,for me,chase b,chase b,for me,2020-10-23,68
6Mfh9o1FjAiA3gU5q21OD6,everyday,sofaygo,sofaygo,everyday,2020-12-17,68
78xj07VVFK5uHTaGPIu13S,buss it,erica banks,erica banks,buss it,2020-05-15,68
7feeLzB9KdKJ2ha3OvJ0SZ,running back to you,martin jensen,martin jensen,running back to you,2020-10-09,68
053EDVshTHTBGMJFAfIwCW,i'm yours,lofi fruits music,lofi fruits music,i m yours,2020-02-28,67
0anUgBvnA4u5LsHUeLRprc,tic tac,future,future,tic tac,2020-11-13,67
0rIZ49wxDf8H2LXOKmAMW5,qué chimba,maluma,maluma,que chimba,2020-03-13,67
2vI4SxtYqAQD5h1nSrqfKM,muchacha,gente de zona,gente de zona,muchacha,2020-04-23,67
423NhOTzoqgeaIJbrUzSoo,on the way (feat. mila j),jhené aiko,jhene aiko,on the way,2020-07-17,67
4Pzk85DqWoLqptyA5IlhLk,pegao / me miro y la mire (tiktok hit),omega,omega,pegao me miro y la mire,2020-05-20,67
4SgacK8EAeeP6tYklRIzJx,the chicken wing beat,ricky desktop,ricky desktop,the chicken wing beat,2020-06-13,67
4jY3GWEqlrTALvVE1j7VHI,aesthetic,xilo,xilo,aesthetic,2020-02-14,67
5gFCFZnV0QTt1YfjY7dJBY,superstar,david puentez,david puentez,superstar,2020-03-05,67
7FngYjFnEU6fRYWTZbwoq9,plastic,unghetto mathieu,unghetto mathieu,plastic,2020-05-29,67
